,User,Func_name,Time,Date
0,yggm31,pr,15:36:55.647056,2025-03-27
1,yggm31,pr,15:48:24.025333,2025-03-27
2,yggm31,pr,15:48:24.029342,2025-03-27
3,yggm31,pr,15:48:24.031346,2025-03-27
4,yggm31,pr,15:48:24.034320,2025-03-27
5,yggm31,pr,15:48:24.036304,2025-03-27
6,yggm31,pr,15:48:24.038298,2025-03-27
7,yggm31,pr,15:48:24.041291,2025-03-27
8,yggm31,pr,15:48:24.044313,2025-03-27
9,yggm31,pr,15:48:24.046276,2025-03-27
10,yggm31,pr,15:48:24.048299,2025-03-27
11,yggm31,pr,15:48:24.051263,2025-03-27
12,yggm31,pr,15:48:24.053286,2025-03-27
13,yggm31,pr,15:48:24.055281,2025-03-27
14,yggm31,pr,15:48:24.058246,2025-03-27
15,yggm31,pr,15:48:24.061236,2025-03-27
16,yggm31,pr,15:48:24.063258,2025-03-27
17,yggm31,pr,15:48:24.066223,2025-03-27
18,yggm31,pr,15:48:24.069215,2025-03-27
19,yggm31,pr,15:48:24.071209,2025-03-27
20,yggm31,pr,15:48:24.075199,2025-03-27
21,yggm31,pr,15:48:24.079187,2025-03-27
22,yggm31,pr,15:48:24.081212,2025-03-27
23,yggm31,pr,15:48:24.084173,2025-03-27
24,yggm31,pr,15:48:24.086197,2025-03-27
25,yggm31,pr,15:48:24.089161,2025-03-27
26,yggm31,pr,15:48:24.092153,2025-03-27
27,yggm31,pr,15:48:24.095149,2025-03-27
28,yggm31,pr,15:48:24.098136,2025-03-27
29,yggm31,pr,15:48:24.100162,2025-03-27
30,yggm31,pr,15:48:24.102155,2025-03-27
31,yggm31,pr,15:48:24.105116,2025-03-27
32,yggm31,pr,15:48:24.108110,2025-03-27
33,yggm31,pr,15:48:24.111131,2025-03-27
34,yggm31,pr,15:48:24.114093,2025-03-27
35,yggm31,pr,15:48:24.116086,2025-03-27
36,yggm31,pr,15:48:24.118114,2025-03-27
37,yggm31,pr,15:48:24.121077,2025-03-27
38,yggm31,pr,15:48:24.123074,2025-03-27
39,yggm31,pr,15:48:24.126060,2025-03-27
40,yggm31,pr,15:48:24.129052,2025-03-27
41,yggm31,pr,15:48:24.131048,2025-03-27
42,yggm31,pr,15:48:24.133068,2025-03-27
43,yggm31,pr,15:48:24.135063,2025-03-27
44,yggm31,pr,15:48:24.137058,2025-03-27
45,yggm31,pr,15:48:24.140029,2025-03-27
46,yggm31,pr,15:48:24.143013,2025-03-27
47,yggm31,pr,15:48:24.145008,2025-03-27
48,yggm31,pr,15:48:24.147033,2025-03-27
49,yggm31,pr,15:48:24.149995,2025-03-27
50,yggm31,pr,15:48:24.152015,2025-03-27
51,yggm31,pr,15:48:24.154013,2025-03-27
52,yggm31,pr,15:48:24.156982,2025-03-27
53,yggm31,pr,15:48:24.159969,2025-03-27
54,yggm31,pr,15:48:24.161962,2025-03-27
55,yggm31,pr,15:48:24.163989,2025-03-27
56,yggm31,pr,15:48:24.166977,2025-03-27
57,yggm31,pr,15:48:24.168973,2025-03-27
58,yggm31,pr,15:48:24.170966,2025-03-27
59,yggm31,pr,15:48:24.173967,2025-03-27
60,yggm31,pr,15:48:24.176922,2025-03-27
61,yggm31,pr,15:48:24.178948,2025-03-27
62,yggm31,pr,15:48:24.180935,2025-03-27
63,yggm31,pr,15:48:24.182929,2025-03-27
64,yggm31,pr,15:48:24.185898,2025-03-27
65,yggm31,pr,15:48:24.187892,2025-03-27
66,yggm31,pr,15:48:24.189891,2025-03-27
67,yggm31,pr,15:48:24.192878,2025-03-27
68,yggm31,pr,15:48:24.195871,2025-03-27
69,yggm31,pr,15:48:24.197865,2025-03-27
70,yggm31,pr,15:48:24.199883,2025-03-27
71,yggm31,pr,15:48:24.201878,2025-03-27
72,yggm31,pr,15:48:24.203876,2025-03-27
73,yggm31,pr,15:48:24.206842,2025-03-27
74,yggm31,pr,15:48:24.209833,2025-03-27
75,yggm31,pr,15:48:24.211855,2025-03-27
76,yggm31,pr,15:48:24.214819,2025-03-27
77,yggm31,pr,15:48:24.216842,2025-03-27
78,yggm31,pr,15:48:24.218832,2025-03-27
79,yggm31,pr,15:48:24.221799,2025-03-27
80,yggm31,pr,15:48:24.224794,2025-03-27
81,yggm31,pr,15:48:24.226811,2025-03-27
82,yggm31,pr,15:48:24.229806,2025-03-27
83,yggm31,pr,15:48:24.231773,2025-03-27
84,yggm31,pr,15:48:24.233792,2025-03-27
85,yggm31,pr,15:48:24.235790,2025-03-27
86,yggm31,pr,15:48:24.238754,2025-03-27
87,yggm31,pr,15:48:24.241749,2025-03-27
88,yggm31,pr,15:48:24.243740,2025-03-27
89,yggm31,pr,15:48:24.246769,2025-03-27
90,yggm31,pr,15:48:24.248727,2025-03-27
91,yggm31,pr,15:48:24.250746,2025-03-27
92,yggm31,pr,15:48:24.252741,2025-03-27
93,yggm31,pr,15:48:24.255707,2025-03-27
94,yggm31,pr,15:48:24.257702,2025-03-27
95,yggm31,pr,15:48:24.261693,2025-03-27
96,yggm31,pr,15:48:24.263714,2025-03-27
97,yggm31,pr,15:48:24.265681,2025-03-27
98,yggm31,pr,15:48:24.268697,2025-03-27
99,yggm31,pr,15:48:24.270691,2025-03-27
100,yggm31,pr,15:48:24.273660,2025-03-27
101,yggm31,pr,15:48:24.276652,2025-03-27
102,yggm31,pr,15:48:24.278669,2025-03-27
103,yggm31,pr,15:48:24.280668,2025-03-27
104,yggm31,pr,15:48:24.282659,2025-03-27
105,yggm31,pr,15:48:24.284656,2025-03-27
106,yggm31,pr,15:48:24.287621,2025-03-27
107,yggm31,pr,15:48:24.289616,2025-03-27
108,yggm31,pr,15:48:24.292609,2025-03-27
109,yggm31,pr,15:48:24.294603,2025-03-27
110,yggm31,pr,15:48:24.297618,2025-03-27
111,yggm31,pr,15:48:24.299589,2025-03-27
112,yggm31,pr,15:48:24.301607,2025-03-27
113,yggm31,pr,15:48:24.303602,2025-03-27
114,yggm31,pr,15:48:24.306571,2025-03-27
115,yggm31,pr,15:48:24.309563,2025-03-27
116,yggm31,pr,15:48:24.312553,2025-03-27
117,yggm31,pr,15:48:24.314549,2025-03-27
118,yggm31,pr,15:48:24.316567,2025-03-27
119,yggm31,pr,15:48:24.318562,2025-03-27
120,yggm31,pr,15:48:24.321530,2025-03-27
121,yggm31,pr,15:48:24.324522,2025-03-27
122,yggm31,pr,15:48:24.326516,2025-03-27
123,yggm31,pr,15:48:24.329508,2025-03-27
124,yggm31,pr,15:48:24.331534,2025-03-27
125,yggm31,pr,15:48:24.333525,2025-03-27
126,yggm31,pr,15:48:24.335519,2025-03-27
127,yggm31,pr,15:48:24.338484,2025-03-27
128,yggm31,pr,15:48:24.340479,2025-03-27
129,yggm31,pr,15:48:24.343497,2025-03-27
130,yggm31,pr,15:48:24.345489,2025-03-27
131,yggm31,pr,15:48:24.348457,2025-03-27
132,yggm31,pr,15:48:24.350451,2025-03-27
133,yggm31,pr,15:48:24.352445,2025-03-27
134,yggm31,pr,15:48:24.355439,2025-03-27
135,yggm31,pr,15:48:24.358431,2025-03-27
136,yggm31,pr,15:48:24.360424,2025-03-27
137,yggm31,pr,15:48:24.363416,2025-03-27
138,yggm31,pr,15:48:24.365434,2025-03-27
139,yggm31,pr,15:48:24.368403,2025-03-27
140,yggm31,pr,15:48:24.370397,2025-03-27
141,yggm31,pr,15:48:24.373397,2025-03-27
142,yggm31,pr,15:48:24.375384,2025-03-27
143,yggm31,pr,15:48:24.378399,2025-03-27
144,yggm31,pr,15:48:24.380394,2025-03-27
145,yggm31,pr,15:48:24.382388,2025-03-27
146,yggm31,pr,15:48:24.385356,2025-03-27
147,yggm31,pr,15:48:24.387350,2025-03-27
148,yggm31,pr,15:48:24.389346,2025-03-27
149,yggm31,pr,15:48:24.392362,2025-03-27
150,yggm31,pr,15:48:24.395357,2025-03-27
151,yggm31,pr,15:48:24.398321,2025-03-27
152,yggm31,pr,15:48:24.400345,2025-03-27
153,yggm31,pr,15:48:24.402334,2025-03-27
154,yggm31,pr,15:48:24.405302,2025-03-27
155,yggm31,pr,15:48:24.407323,2025-03-27
156,yggm31,pr,15:48:24.410316,2025-03-27
157,yggm31,pr,15:48:24.413306,2025-03-27
158,yggm31,pr,15:48:24.415302,2025-03-27
159,yggm31,pr,15:48:24.417293,2025-03-27
160,yggm31,pr,15:48:24.420262,2025-03-27
161,yggm31,pr,15:48:24.422280,2025-03-27
162,yggm31,pr,15:48:24.425248,2025-03-27
163,yggm31,pr,15:48:24.428240,2025-03-27
164,yggm31,pr,15:48:24.430258,2025-03-27
165,yggm31,pr,15:48:24.432229,2025-03-27
166,yggm31,pr,15:48:24.435221,2025-03-27
167,yggm31,pr,15:48:24.437239,2025-03-27
168,yggm31,pr,15:48:24.439211,2025-03-27
169,yggm31,pr,15:48:24.443201,2025-03-27
170,yggm31,pr,15:48:24.445220,2025-03-27
171,yggm31,pr,15:48:24.448210,2025-03-27
172,yggm31,pr,15:48:24.450204,2025-03-27
173,yggm31,pr,15:48:24.453173,2025-03-27
174,yggm31,pr,15:48:24.455190,2025-03-27
175,yggm31,pr,15:48:24.458159,2025-03-27
176,yggm31,pr,15:48:24.460178,2025-03-27
177,yggm31,pr,15:48:24.463146,2025-03-27
178,yggm31,pr,15:48:24.465164,2025-03-27
179,yggm31,pr,15:48:24.467158,2025-03-27
180,yggm31,pr,15:48:24.470127,2025-03-27
181,yggm31,pr,15:48:24.472121,2025-03-27
182,yggm31,pr,15:48:24.475114,2025-03-27
183,yggm31,pr,15:48:24.478105,2025-03-27
184,yggm31,pr,15:48:24.480123,2025-03-27
185,yggm31,pr,15:48:24.482118,2025-03-27
186,yggm31,pr,15:48:24.484113,2025-03-27
187,yggm31,pr,15:48:24.487080,2025-03-27
188,yggm31,pr,15:48:24.489075,2025-03-27
189,yggm31,pr,15:48:24.492092,2025-03-27
190,yggm31,pr,15:48:24.495059,2025-03-27
191,yggm31,pr,15:48:24.497077,2025-03-27
192,yggm31,pr,15:48:24.499072,2025-03-27
193,yggm31,pr,15:48:24.502040,2025-03-27
194,yggm31,pr,15:48:24.504035,2025-03-27
195,yggm31,pr,15:48:24.506029,2025-03-27
196,yggm31,pr,15:48:24.511440,2025-03-27
197,yggm31,pr,15:48:24.513460,2025-03-27
198,yggm31,pr,15:48:24.516428,2025-03-27
199,yggm31,pr,15:48:24.518447,2025-03-27
200,yggm31,pr,15:48:24.520443,2025-03-27
